"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","220304","Сайт: https://beeline-home.online/ [core] [chromium] [none]","","Tue May 19 07:47:58 UTC 2026","passed","Tue May 19 07:51:38 UTC 2026","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","301411","Сайт: https://beeline-internet.online/ [core] [chromium] [none]","","Tue May 19 07:29:25 UTC 2026","passed","Tue May 19 07:34:27 UTC 2026","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","220790","Сайт: https://beeline-ru.pro/ [core] [chromium] [none]","","Tue May 19 07:44:17 UTC 2026","passed","Tue May 19 07:47:58 UTC 2026","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","225497","Сайт: https://beelline-internet.ru/ [core] [chromium] [none]","","Tue May 19 07:51:38 UTC 2026","passed","Tue May 19 07:55:23 UTC 2026","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","309183","Сайт: https://online-beeline.ru/ [core] [chromium] [none]","","Tue May 19 07:39:08 UTC 2026","passed","Tue May 19 07:44:17 UTC 2026","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","280657","Сайт: https://beeline-ru.online/ [core] [chromium] [none]","","Tue May 19 07:34:27 UTC 2026","passed","Tue May 19 07:39:07 UTC 2026","service-mode: core","Формы провайдеров","",""
