"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","227539","Сайт: https://rtk-ru.online/ [core] [chromium] [none]","","Mon May 04 07:12:48 UTC 2026","passed","Mon May 04 07:16:36 UTC 2026","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","315885","Сайт: http://rtk-home.ru/ [core] [chromium] [none]","","Mon May 04 07:29:14 UTC 2026","passed","Mon May 04 07:34:30 UTC 2026","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","220556","Сайт: https://rt-internet.online/ [core] [chromium] [none]","","Mon May 04 07:16:36 UTC 2026","passed","Mon May 04 07:20:17 UTC 2026","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","318592","Сайт: https://rtk-internet.online/ [core] [chromium] [none]","","Mon May 04 07:23:54 UTC 2026","failed","Mon May 04 07:29:13 UTC 2026","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","217831","Сайт: https://rtk-home-internet.ru/ [core] [chromium] [none]","","Mon May 04 07:20:17 UTC 2026","passed","Mon May 04 07:23:54 UTC 2026","service-mode: core","Формы провайдеров","",""
